2026-07-15 18:51:04,521 | HousePricePrediction | INFO | Dataset loaded successfully from /Users/macbookair/Documents/ml projects for github/house price prediction/data/raw/house_price.csv
2026-07-15 18:51:04,544 | HousePricePrediction | INFO | Dataset information displayed successfully.
2026-07-15 18:51:04,546 | HousePricePrediction | INFO | Missing values checked successfully
2026-07-15 18:51:04,563 | HousePricePrediction | INFO | Missing values handled successfully.
2026-07-15 18:51:04,566 | HousePricePrediction | INFO | Duplicate rows checked successfully
2026-07-15 18:51:04,571 | HousePricePrediction | INFO | Duplicate rows removed successfully
2026-07-15 18:51:04,617 | HousePricePrediction | INFO | Categorical columns encoded successfully.
2026-07-15 18:51:04,622 | HousePricePrediction | INFO | Processed dataset saved successfully at /Users/macbookair/Documents/ml projects for github/house price prediction/data/processed/processed_house_price.csv
2026-07-15 18:51:04,623 | HousePricePrediction | INFO | 
Processed dataset saved to:
/Users/macbookair/Documents/ml projects for github/house price prediction/data/processed/processed_house_price.csv
2026-07-15 18:51:04,624 | HousePricePrediction | INFO | SqFtPerBedroom feature created successfully.
2026-07-15 18:51:04,625 | HousePricePrediction | INFO | BathroomPerBedroom feature created successfuuly.
2026-07-15 18:51:04,627 | HousePricePrediction | INFO | TotalRooms feature created successfully.
2026-07-15 18:51:04,631 | HousePricePrediction | INFO | Features and target created successfully.
2026-07-15 18:51:04,639 | HousePricePrediction | INFO | Train-test split completed successfully.
2026-07-15 18:51:04,648 | HousePricePrediction | INFO | Linear Regression model trained successfully.
2026-07-15 18:51:04,657 | HousePricePrediction | INFO | Linear Regression evaluated successfully.
2026-07-15 18:51:04,666 | HousePricePrediction | INFO | Decision tree regression model trained successfully.
2026-07-15 18:51:04,691 | HousePricePrediction | INFO | Decision Tree evaluated successfully.
2026-07-15 18:51:04,931 | HousePricePrediction | INFO | Random Forest regression model trained successfully.
2026-07-15 18:51:04,962 | HousePricePrediction | INFO | Random Forest Regressor evaluated successfully.
2026-07-15 18:51:04,973 | HousePricePrediction | INFO | KNN model trained successfully.
2026-07-15 18:51:04,991 | HousePricePrediction | INFO | KNN Regression evaluated successfully.
2026-07-15 18:51:04,992 | HousePricePrediction | INFO | Best model selected: Linear Regression
2026-07-15 18:51:05,007 | HousePricePrediction | INFO | Best model saved successfully at /Users/macbookair/Documents/ml projects for github/house price prediction/models/best_model.pkl
2026-07-15 18:51:05,008 | HousePricePrediction | INFO | Best model loaded successfully.
2026-07-15 18:51:05,012 | HousePricePrediction | INFO | Input dataframe created successfully.
2026-07-15 18:51:05,017 | HousePricePrediction | INFO | SqFtPerBedroom feature created successfully.
2026-07-15 18:51:05,025 | HousePricePrediction | INFO | BathroomPerBedroom feature created successfuuly.
2026-07-15 18:51:05,026 | HousePricePrediction | INFO | TotalRooms feature created successfully.
2026-07-15 18:51:05,027 | HousePricePrediction | INFO | Feature Engineering applied successfully.
2026-07-15 18:51:05,031 | HousePricePrediction | INFO | House price predicted successfully.
2026-07-15 18:51:05,033 | HousePricePrediction | INFO | Prediction is done successfully. 
2026-07-15 18:51:05,042 | HousePricePrediction | INFO | Feature engineered dataset saved successfully at /Users/macbookair/Documents/ml projects for github/house price prediction/data/processed/feature_engineered_house_price.csv
2026-07-15 21:59:27,377 | HousePricePrediction | INFO | Dataset loaded successfully from /Users/macbookair/Documents/ml projects for github/house price prediction/data/raw/house_price.csv
2026-07-15 21:59:27,424 | HousePricePrediction | INFO | Dataset information displayed successfully.
2026-07-15 21:59:27,427 | HousePricePrediction | INFO | Missing values checked successfully
2026-07-15 21:59:27,455 | HousePricePrediction | INFO | Missing values handled successfully.
2026-07-15 21:59:27,457 | HousePricePrediction | INFO | Duplicate rows checked successfully
2026-07-15 21:59:27,459 | HousePricePrediction | INFO | Duplicate rows removed successfully
2026-07-15 21:59:27,500 | HousePricePrediction | INFO | Categorical columns encoded successfully.
2026-07-15 21:59:27,505 | HousePricePrediction | INFO | Processed dataset saved successfully at /Users/macbookair/Documents/ml projects for github/house price prediction/data/processed/processed_house_price.csv
2026-07-15 21:59:27,506 | HousePricePrediction | INFO | 
Processed dataset saved to:
/Users/macbookair/Documents/ml projects for github/house price prediction/data/processed/processed_house_price.csv
2026-07-15 21:59:27,507 | HousePricePrediction | INFO | SqFtPerBedroom feature created successfully.
